Individual,Group,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Tenericutes,k__Bacteria|p__Chlamydiae,k__Bacteria|p__Chloroflexi,k__Bacteria|p__Verrucomicrobia,k__Bacteria|p__Planctomycetes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Cyanobacteria,k__Bacteria|p__Spirochaetes,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Deinococcus-Thermus,k__Bacteria|p__Lentisphaerae,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Saccharibacteria_TM7,k__Bacteria|p__Armatimonadetes,k__Bacteria|p__Nitrospirae,k__Bacteria|p__Gemmatimonadetes
RF_66,SA,0.005514794,0.962691219,0.007672757,0.021675538,0.002445691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF_77,SA,0.108700061,0.50294058,0.352261205,0.027783411,0.008314743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF_81,SA,0.029002781,0.666666667,0.294000795,0,0.010329758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF_92,SA,0.043942993,0.785035629,0.16152019,0.008907363,0,0,0.000593824,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_57,SA,0.020980392,0.680784314,0.289607843,0.008627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_60,SA,0.01074009,0.776899043,0.167382673,0.005239862,0,0,0,0.00244093,0.00045564,0.036353577,0,0,0.000488186,0,0,0,0,0,0,0
RM_76,SA,0.095477387,0.602512563,0.233668342,0.05,0.011306533,0.004773869,0,0,0,0,0,0,0,0,0.002261307,0,0,0,0,0
RM_84,SA,0.14600551,0.641873278,0.212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_89,SA,0.13030888,0.381274131,0,0.447072072,0,0,0.022361647,0.008043758,0.009169884,0,0,0,0.000804376,0,0,0.000965251,0,0,0,0
RF_51,SA,0.250101447,0.46713107,0.267888543,0.003449209,0.009333153,0,0,0,0,0,0.002096578,0,0,0,0,0,0,0,0,0
RJ_21,SJ,0.107640825,0.47016174,0.413831567,0.008365867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RJ_22,SJ,0.008542141,0.808314351,0.127334852,0.053644647,0,0,0.001366743,0,0,0,0,0,0.000569476,0,0,0,0,0,0,0.00022779
RJ_23,SJ,0.07166171,0.649162254,0.046057881,0.206136215,0,0,0.010879814,0.005584971,0.006745485,0,0,0,0.00275622,0,0,0,0.000870385,0,0,0.000145064
RJ_24,SJ,0.26161896,0.465373961,0.008002462,0.247768544,0,0,0.010772545,0,0,0,0.001231148,0,0.005232379,0,0,0,0,0,0,0
RJ_25,SJ,0.03876652,0.783039648,0.175110132,0,0.0030837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RJ_26,SJ,0.060533333,0.598666667,0.2488,0.044266667,0.030666667,0,0,0.0088,0.004533333,0.001066667,0.0016,0,0,0.001066667,0,0,0,0,0,0
RJ_27,SJ,0.181731076,0.494889812,0.222612584,0.072181412,0.024752475,0,0,0.001756627,0,0,0,0,0.002076014,0,0,0,0,0,0,0
RJ_28,SJ,0.290319844,0.404683125,0.278018156,0.005599389,0.018070756,0.00220582,0,0,0,0.00110291,0,0,0,0,0,0,0,0,0,0
RJ_29,SJ,0.01022975,0.540332048,0.42243837,0.003354016,0,0,0,0,0,0,0,0.023645816,0,0,0,0,0,0,0,0
RJ_30,SJ,0.006223387,0.594933945,0.388033628,0.01080904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_14,WA,0.920826477,0.013896508,0.020844761,0.035838362,0,0.002377034,0.002011337,0.002011337,0.002194185,0,0,0,0,0,0,0,0,0,0,0
RM_20,WA,0.878773321,0.071182641,0.019697334,0.008087117,0,0,0.000800705,0.009928737,0.005845144,0.001120986,0.000160141,0,0,0.00168148,0,0.000880775,0.000880775,0.000560493,0.000400352,0
RM_38,WA,0.775656325,0.06026253,0.152147971,0.00477327,0.007159905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_46,WA,0.71450737,0.236617533,0.025601241,0.010085337,0.005430566,0,0,0.006206362,0,0,0,0,0,0.00155159,0,0,0,0,0,0
