Individual,Group,Observed,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,PD
RF_66,SA,77,0,77,2.677467305,2.564331339,0.840296077,6.261586955,10.08563007,7.628291166
RF_77,SA,60,0,60,0.991631652,3.575127495,0.958693363,24.20918475,9.611937626,3.298222585
RF_81,SA,49,0,49,2.118913853,3.523893028,0.960768798,25.48991514,8.627913654,2.955019787
RF_92,SA,68,0,68,2.338928865,3.845566509,0.968847678,32.10033562,12.06707316,2.915149809
RJ_21,SA,37,0,37,2.504050772,3.2407728,0.94904053,19.62343814,6.596869144,2.117830064
RJ_22,SA,90,0,90,2.846049894,3.73384309,0.960806684,25.51455475,13.96350494,4.100934651
RJ_23,SA,167,0,167,3.907615779,4.089753227,0.960959725,25.61457339,26.73015291,9.97473217
RJ_24,SA,79,0,79,3.19017479,3.996740371,0.974673458,39.48426951,14.6046148,4.266524315
RJ_25,SA,52,0,52,1.681345615,3.251181528,0.930547847,14.3984017,8.235636692,2.804620702
RJ_26,SA,80,0,80,3.29962119,4.001449106,0.974395307,39.05533985,14.3667361,4.385777388
RJ_27,SJ,96,0,96,3.352548782,4.00090097,0.97088689,34.34878706,16.08940485,4.894000622
RJ_28,SJ,82,0,82,2.830582117,3.463783696,0.943358741,17.65497465,11.88292641,3.869713031
RJ_29,SJ,74,0,74,1.696578433,3.822249369,0.9688106,32.06217511,11.89932505,3.202795808
RJ_30,SJ,64,0,64,2.331844763,3.232207778,0.936522117,15.75351846,9.281430386,6.275643012
RJ_7,SJ,9,0,9,1.490711985,0.601169766,0.22936336,1.297628412,1.359809738,1.02936821
RJ_9,SJ,31,0,31,2.663977138,1.627817965,0.597296947,2.483219319,4.796161247,2.702840432
RJ_10,SJ,77,0,77,3.71378618,2.977072668,0.906608655,10.70763036,11.6675045,4.676872632
RJ_12,SJ,22,0,22,2.256304299,1.647421275,0.749630175,3.99409154,2.555593522,5.290044267
RJ_13,SJ,6,0,6,1.154700538,1.602212623,0.760416667,4.173913043,1.556061294,0.799914101
RJ_14,SJ,8,0,8,1.224744871,1.681178823,0.749238904,3.987859425,2.223340237,0.995329811
RJ_15,WA,7,0,0,0,1.195917677,0.651713049,2.871195712,0.782102352,0.514793687
RJ_18,WA,5,0,5,0.894427191,1.17073022,0.644904514,2.816143936,0.778056533,0.673505179
RJ_19,WA,12,0,12,1.632993162,1.570022541,0.740018458,3.846426918,1.562213216,1.105834052
RJ_20,WA,8,0,8,1.369306394,1.672949614,0.769966093,4.347185213,1.450465779,0.877472624
RM_5,WA,72,0,72,3.16227766,3.059880887,0.917911566,12.18198411,10.0299065,7.70629289
RM_14,WA,39,0,39,2.253202849,2.362841109,0.850575231,6.692330928,5.675415217,2.838304288
RM_20,WA,89,0,89,3.865723765,1.936324622,0.65905494,2.933023871,12.95009519,8.867904737
RM_38,WA,20,0,20,1.788854382,2.152313689,0.803591772,5.091436381,3.192148041,1.696140198
RM_46,WA,34,0,34,2.572478777,2.90186738,0.91343534,11.55205835,6.403300247,2.446047753
RF_4,WA,18,0,18,2,1.293714118,0.551841824,2.231355028,2.438707502,5.196597715
RF_15,WJ,21,0,21,2.070196678,2.366173439,0.878281734,8.215693804,3.056849026,1.756366902
RF_16,WJ,24,0,24,2.226731536,2.799157365,0.925732294,13.46480266,4.69580011,2.245343779
RF_32,WJ,39,0,39,2.521700688,3.461291635,0.962791258,26.87540436,8.36064105,2.627803576
RF_39,WJ,8,0,8,0.935414347,1.595573686,0.750627039,4.010057846,1.246065914,0.729688075
RM_57,WJ,72,0,72,2.666666667,3.778920501,0.966194002,29.58054985,11.87095176,3.486682089
RM_60,WJ,100,0,100,2.374868417,3.505805257,0.950707941,20.28724336,12.85409864,7.528778037
RM_76,WJ,85,0,85,3.419666306,4.002161568,0.973831469,38.21383769,15.26831166,4.754749361
RM_84,WJ,29,0,29,1.364576478,3.012300172,0.937675478,16.04504873,4.901062543,2.061824867
RM_89,WJ,154,0,154,4.171642051,4.698198254,0.987913037,82.73376957,28.59055354,6.050685044
RF_51,WJ,86,0,86,1.397672484,3.413180675,0.92227393,12.8656961,12.09681121,7.24360523
