,,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SJ,SJ,SJ,SJ,SJ,SJ,SJ,SJ,SJ,SJ,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WJ,WJ,WJ,WJ,WJ,WJ,WJ,WJ,WJ,WJ
,,RF_66,RF_77,RF_81,RF_92,RJ_21,RJ_22,RJ_23,RJ_24,RJ_25,RJ_26,RJ_27,RJ_28,RJ_29,RJ_30,RJ_7,RJ_9,RJ_10,RJ_12,RJ_13,RJ_14,RJ_15,RJ_18,RJ_19,RJ_20,RM_5,RM_14,RM_20,RM_38,RM_46,RF_4,RF_15,RF_16,RF_32,RF_39,RM_57,RM_60,RM_76,RM_84,RM_89,RF_51
SA,RF_66,0,0.856577723,0.886521181,0.893480864,0.947098825,0.879593696,0.968475751,0.992116837,0.891938723,0.884241759,0.869666236,0.891360294,0.898195107,0.886112222,0.999268404,0.992476175,0.99592031,0.998622708,1,0.998948978,1,1,1,0.999434282,0.823311367,0.998860269,0.977685802,1,0.984554241,0.94766808,0.988568066,0.992139455,0.998987668,0.999722441,0.878010249,0.910157235,0.863004873,0.902152815,0.993571983,0.865540559
SA,RF_77,0.856577723,0,0.762352309,0.728160019,0.785841761,0.818685727,0.930868683,0.98801956,0.806145074,0.71524018,0.698025552,0.750089724,0.672847439,0.783250532,1,0.945763559,0.965461014,0.995245391,1,0.998802395,0.995072993,1,1,1,0.786275595,1,0.959357061,1,0.91511254,0.979644917,0.885402109,0.943908852,0.994836489,0.982791923,0.747781876,0.954735396,0.575131859,0.788319004,0.989952454,0.697824213
SA,RF_81,0.886521181,0.762352309,0,0.654715378,0.723433875,0.849694609,0.942836114,1,0.82598838,0.75745971,0.775373049,0.879474273,0.75754717,0.904933196,1,0.986041518,0.987723416,0.999152286,1,0.997688752,1,1,1,1,0.827158917,1,0.975076636,0.997615073,0.940620074,0.864364598,0.950155763,0.957459739,1,0.998171289,0.699881843,0.97250549,0.658303833,0.577100646,1,0.885568976
SA,RF_92,0.893480864,0.728160019,0.654715378,0,0.776399922,0.818570958,0.944039639,0.984282908,0.767324229,0.765383535,0.760747664,0.867766414,0.744721895,0.895904846,1,0.990681783,0.974683544,0.999769665,1,0.998259356,0.993827817,1,1,1,0.889986067,1,0.960900549,1,0.921838093,0.978846154,0.990488269,0.99034283,1,0.998547919,0.794756731,0.932715434,0.630647795,0.756125796,0.989357262,0.799493225
SA,RJ_21,0.947098825,0.785841761,0.723433875,0.776399922,0,0.771115105,0.935044929,0.933756446,0.842728565,0.596608335,0.744258225,0.808836524,0.661423414,0.823411249,1,0.959703947,0.969287232,0.990754227,1,0.996794872,0.979289184,1,1,1,0.905705867,0.999173781,0.970872427,1,0.939649578,0.960736196,0.920135221,0.913517725,0.976047904,0.969495503,0.791382562,0.963775024,0.771002945,0.601995565,0.983518542,0.854756017
SA,RJ_22,0.879593696,0.818685727,0.849694609,0.818570958,0.771115105,0,0.809190411,0.955441018,0.805555556,0.65442937,0.688339317,0.763310157,0.657193244,0.698087965,1,0.983461311,0.978778617,0.997717095,1,0.999322723,1,1,1,1,0.850905607,0.994104849,0.957402793,1,0.961465885,0.991175544,0.949488055,0.982625079,0.987990475,0.999371333,0.817146974,0.831721764,0.819122257,0.854648419,0.950786877,0.777645761
SA,RJ_23,0.968475751,0.930868683,0.942836114,0.944039639,0.935044929,0.809190411,0,0.832120216,0.942270966,0.914580601,0.886278617,0.92633143,0.86278481,0.877277085,0.998243718,0.987068454,0.924467514,0.998056505,1,0.997692197,0.998385143,0.997757062,0.998136501,0.997737876,0.930921786,0.978604071,0.959278429,0.997930544,0.988193155,0.99378496,0.980271417,0.987500858,0.963589254,0.997800838,0.941017631,0.9262238,0.946980357,0.974618639,0.836924461,0.848458335
SA,RJ_24,0.992116837,0.98801956,1,0.984282908,0.933756446,0.955441018,0.832120216,0,0.990499422,0.965423632,0.866680686,0.975791434,0.998046027,0.97098646,1,0.961075949,0.912108383,0.973676581,1,0.995793269,0.973701229,1,1,1,0.981938003,0.952970865,0.958317448,1,1,0.957547829,0.989335919,0.942828735,0.922965116,0.98155993,1,0.980103017,1,0.902843602,0.855256207,0.987468811
SA,RJ_25,0.891938723,0.806145074,0.82598838,0.767324229,0.842728565,0.805555556,0.942270966,0.990499422,0,0.76694813,0.756896871,0.868438782,0.761591926,0.911380393,1,0.943765602,0.972215861,0.995145107,1,0.998701018,0.994890718,1,1,1,0.916850501,0.997002698,0.972634917,1,0.943386516,0.989588263,0.947058824,0.942792623,0.990404134,0.981523379,0.645435685,0.830601713,0.865962441,0.909677419,0.999628115,0.851081445
